Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b66f6d42e2444e2ca1b12d5deb7fab1714f0de1b42dc6a09da6636dfa0fc2b90,2021-01,Gwent Police,Gwent Police,-3.228131,51.643652,On or near Petrol Station,W01001433,Caerphilly 013E,Investigation complete; no suspect identified
477b3ab8884b7653f811907926513bf1e1ebecd6bf9b7c7ef1548588e8f7e243,2021-01,Gwent Police,Gwent Police,-3.011674,51.616116,On or near HARGREAVES DRIVE,W01001652,Newport 002B,Investigation complete; no suspect identified
b2250ad8ed3369817c38e19db0a06558ca952b1145a5ddcfaea0e29b15c27140,2021-01,Gwent Police,Gwent Police,-3.008879,51.657457,On or near WOODLAND ROAD,W01001495,Torfaen 008C,Investigation complete; no suspect identified
37514315851b969b475599b13b53f4b8ccccdb50264da314a89c912fd7da735c,2021-01,Gwent Police,Gwent Police,-2.830677,51.614929,On or near PIKE ROAD,W01001640,Newport 004B,Investigation complete; no suspect identified
e4d445f516c895c1832db6c9d7c8ca01bfccece7fd200017a794488387578146,2021-01,Gwent Police,Gwent Police,-2.925835,51.594013,On or near DAWSON CLOSE,W01001667,Newport 010C,Investigation complete; no suspect identified
0bc6fe6c59f39ffd93b29cbe074ca7cc80687bc698a75de63230b4a9cb57b84b,2021-01,Gwent Police,Gwent Police,-3.084577,51.605521,On or near SYCAMORE CRESCENT,W01001408,Caerphilly 016B,Investigation complete; no suspect identified
d43be5f184f23f557366986a519101868f528a6dd2ba709bde35b8b7b9e983bb,2021-01,Gwent Police,Gwent Police,-2.931099,51.593756,On or near Sports/Recreation Area,W01001664,Newport 010A,Investigation complete; no suspect identified
da334d56e1af48f8600a0ec0474c41f2df7fce3418c36da7c95af54abec94896,2021-01,Gwent Police,Gwent Police,-3.070185,51.605734,On or near Sports/Recreation Area,W01001407,Caerphilly 016A,Investigation complete; no suspect identified
13dcd354ca419178a6027b299d66ffa0c52e2583ba9b42b8c9004540c8e12a94,2021-01,Gwent Police,Gwent Police,-3.021512,51.571837,On or near BURNS CLOSE,W01001632,Newport 017D,Investigation complete; no suspect identified
893cdaa56166f059ebf7ad606f0cf7b1f2da47bded09e4bc754a8d3a7da6ed85,2021-01,Gwent Police,Gwent Police,-3.226962,51.639420,On or near SPRINGFIELD,W01001369,Caerphilly 012D,Investigation complete; no suspect identified
08e9c53a7869882edc82079e6d9badb56770e5dba978636fcdf4f33c155f8915,2021-01,Gwent Police,Gwent Police,-2.731761,51.812344,On or near FFORDD CORNWALLIS,W01001553,Monmouthshire 004B,Investigation complete; no suspect identified
42ea089f9436a368bc99e7a7fc8b6af2a6e1bab932f47479f9b742050f887611,2021-01,Gwent Police,Gwent Police,-3.046492,51.652946,On or near WOOLPITCH,W01001501,Torfaen 009A,Investigation complete; no suspect identified
b79b6f7fbbf17d06c2bd2715691be11f1be09eada07ecb698a4b371cb2687ab5,2021-01,Gwent Police,Gwent Police,-3.009657,51.583179,On or near RISCA ROAD,W01001629,Newport 017A,Investigation complete; no suspect identified
f378bf93e517d63a9477b77ba0ae80bd5dbe60ac20c8f7532fe7572c6f55f912,2021-01,Gwent Police,Gwent Police,-2.984995,51.600006,On or near FILEY ROAD,W01001677,Newport 007C,Investigation complete; no suspect identified
0c528a43d6c33a48fdeac67fa5f1d5ba5f54ac513f464904c25cbfaee161a3f3,2021-01,Gwent Police,Gwent Police,-3.129672,51.617090,On or near TREDEGAR STREET,W01001355,Caerphilly 015A,Investigation complete; no suspect identified
f185b88490876ad168b780f4eca049c1f1044595a63362f675b858df57108e92,2021-01,Gwent Police,Gwent Police,-3.290809,51.765059,On or near HEOL ANEURIN BEVAN,W01001375,Caerphilly 001B,Investigation complete; no suspect identified
4249181876f243abf068c2519d3c16260802e57509c129127e5106a9f202e05e,2021-01,Gwent Police,Gwent Police,-3.021512,51.571837,On or near BURNS CLOSE,W01001632,Newport 017D,Investigation complete; no suspect identified
3566c6079203a11a0e1b8339f750c2d9086c174c7af079611ce397ffd50768d9,2021-01,Gwent Police,Gwent Police,-2.931233,51.591138,On or near NEWMAN CLOSE,W01001666,Newport 010B,Investigation complete; no suspect identified
31ebcc0bd88ceb45bdee495f7b2e1ab9661a7556967a23fc903148dfe09031b5,2021-01,Gwent Police,Gwent Police,-3.244493,51.774488,On or near Supermarket,W01001481,Blaenau Gwent 006E,Investigation complete; no suspect identified
e41800e7acf29f05ab590c4bb8388bd188e7735bae417f8b831815bee73b719d,2021-01,Gwent Police,Gwent Police,-3.076215,51.597514,On or near MEADOWLANDS DRIVE,W01001636,Newport 020A,Investigation complete; no suspect identified
792af5d8fec815c7d935abf116b2f260057ec355f52e2d7844bb832006e3021e,2021-01,Gwent Police,Gwent Police,-3.220733,51.666829,On or near BRAMBLEWOOD COURT,W01001388,Caerphilly 007D,Investigation complete; no suspect identified
5d8d3ebbbf9b39972ba83618503e4d1887b8ed3bf8928ae1493c3e13a9561888,2021-01,Gwent Police,Gwent Police,-2.995300,51.574095,On or near MENDALGIEF ROAD,W01001660,Newport 018B,Investigation complete; no suspect identified
43f9da6d039b3a130b029c8c4267659b04eee63e238a1a29603ec3c65d00cdf1,2021-01,Gwent Police,Gwent Police,-3.047523,51.577866,On or near LAUREL DRIVE,W01001637,Newport 016B,Investigation complete; no suspect identified
df8d68b4472610e13d0890c63f88159e5584310cc73bf0a72eac5afd75955042,2021-01,Gwent Police,Gwent Police,-3.254753,51.663017,On or near GAER PLACE,W01001414,Caerphilly 008A,Investigation complete; no suspect identified
b3e8793ae98e638aa3397406c3b93ec73e4a7ba9718ea51515868520279e40f4,2021-01,Gwent Police,Gwent Police,-3.040139,51.699975,On or near Supermarket,W01001524,Torfaen 004D,Investigation complete; no suspect identified
9761c9b6d9a8335b406921dc62d53f685101d4e6ee7c56dce3d63071cfcead13,2021-01,Gwent Police,Gwent Police,-3.078011,51.544123,On or near CASTLETON RISE,W01001658,Newport 020D,Investigation complete; no suspect identified
20cb2c5eb9ef148b628dae7b1aa04b9f678fa210379123d55143a66e2fa9f0fb,2021-01,Gwent Police,Gwent Police,-3.021697,51.824775,On or near FROGMORE STREET,W01001546,Monmouthshire 002A,Investigation complete; no suspect identified
15e6116effbc6b936c891bc820cc45e3851a04e9d7b39487df82398538b1ab33,2021-01,Gwent Police,Gwent Police,-3.220733,51.666829,On or near BRAMBLEWOOD COURT,W01001388,Caerphilly 007D,Investigation complete; no suspect identified
bef95f40dfc12a7ea7b9df082e25849990039454128ee502c1bbb05dc5c3bbc5,2021-01,Gwent Police,Gwent Police,-3.148251,51.696180,On or near PEN-Y-WAUN ROAD,W01001358,Caerphilly 006C,Investigation complete; no suspect identified
f93aadc75baa1bfc684ff7275c85cc2f87ecdb7e5d016ea2f89167b4eafe854a,2021-01,Gwent Police,Gwent Police,-2.992880,51.843238,On or near NEW COURT LANE,W01001571,Monmouthshire 001D,Investigation complete; no suspect identified
0ef833c97563b45ae7e7806907190d52926ff41cdf371b2ad71d55beb8ab95d0,2021-01,Gwent Police,Gwent Police,-2.973553,51.604408,On or near THE MOORINGS,W01001678,Newport 005D,Investigation complete; no suspect identified
767e7b1fdf698554d26bd2b6b02ebeebd8084590753a63b1a25d3c3171a07a72,2021-01,Gwent Police,Gwent Police,-2.917166,51.604422,On or near PRIORY GROVE,W01001639,Newport 004A,Investigation complete; no suspect identified
22a30910cd45325681ef8d07ecdb1e7c3d9305da8c56de6bc9b5d5aaa53707b0,2021-01,Gwent Police,Gwent Police,-3.021382,51.613667,On or near MILL HEATH,W01001622,Newport 003F,Investigation complete; no suspect identified
