Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
730dbad69256bdb665c94a6cfbcb68bce0fc424adf6eb2a2cdfd5a39ab15f390,2020-05,Gwent Police,Gwent Police,-3.235332,51.785581,On or near BRYN PICA,W01001473,Blaenau Gwent 003B,Investigation complete; no suspect identified
e6d8ec87564a8b0e7e84c217329ead3e7e6e81e8067d0f7ce45d164bd0f73533,2020-05,Gwent Police,Gwent Police,-3.270650,51.784080,On or near Parking Area,W01001474,Blaenau Gwent 003C,Investigation complete; no suspect identified
4f9637bf5a48d7e91f682b4bfd0dd532a49f9c72442ab46a433d51499be20889,2020-05,Gwent Police,Gwent Police,-3.137142,51.740149,On or near GWERN-BERTHI ROAD,W01001454,Blaenau Gwent 008E,Investigation complete; no suspect identified
686b46425386c44c46170ef44a0a4ad241884aa54ee2851fb091f9c28a895123,2020-05,Gwent Police,Gwent Police,-3.279857,51.595416,On or near HILLSIDE AVENUE,W01001331,Caerphilly 018B,Investigation complete; no suspect identified
bd8b5379c779be53b390b33a361fe56f8afab279f2c77250371f2ac57fb75512,2020-05,Gwent Police,Gwent Police,-3.224368,51.779042,On or near FIRTH ROAD,W01001457,Blaenau Gwent 004D,Investigation complete; no suspect identified
bd33e4b19d0a6ddadc1e6b58859112336a01574174a40b92da2e2084d4c39b45,2020-05,Gwent Police,Gwent Police,-3.052755,51.711713,On or near STRYD SIOR,W01001529,Torfaen 003B,Investigation complete; no suspect identified
0993c08f7deff6c46ddaa15c09d171fa0d385bc066426d7460454dd7e143ee15,2020-05,Gwent Police,Gwent Police,-3.016142,51.617624,On or near TREVITHICK CLOSE,W01001652,Newport 002B,Investigation complete; no suspect identified
268da850b310ba71f5de5e93e2fc752ffef77bd34a0b84fec3f3a40a3cd4c74c,2020-05,Gwent Police,Gwent Police,-2.991220,51.575604,On or near JEDDO STREET,W01001659,Newport 018A,Investigation complete; no suspect identified
23e8484fefb44d555fd774527c98ad4fe7d7a4b9068edd88ea64b033a5829ab7,2020-05,Gwent Police,Gwent Police,-2.990721,51.590471,On or near ST VINCENT ROAD,W01001693,Newport 013E,Investigation complete; no suspect identified
30903d5d1195109b7bd0c281da92e1963c21b1dec1478dae2cd87bfadfe4e4fc,2020-05,Gwent Police,Gwent Police,-3.242180,51.685432,On or near HEOL COEDCAE,W01001339,Caerphilly 004D,Investigation complete; no suspect identified
cff12dd0f657fb865059049a92a01f40de3d6dff1a8c0a00e266078a010b1860,2020-05,Gwent Police,Gwent Police,-3.133752,51.636500,On or near CHAPEL FARM TERRACE,W01001329,Caerphilly 014C,Investigation complete; no suspect identified
cdc2aa3557a1e029e120d7ebc929ebbcde3d8661ae7a3a4afdb4306217b016b2,2020-05,Gwent Police,Gwent Police,-3.052755,51.711713,On or near STRYD SIOR,W01001529,Torfaen 003B,Investigation complete; no suspect identified
f9b11c8519c6beeb49f04b0025ab813de61a2e2c3d1e9caf9f57970410181458,2020-05,Gwent Police,Gwent Police,-2.980920,51.591848,On or near VINE PLACE,W01001692,Newport 011E,Investigation complete; no suspect identified
828d6310085bc9aabb8d64aec8a5fec30b3a7b6cdf4d5dd898b922830db8050e,2020-05,Gwent Police,Gwent Police,-3.184556,51.590896,On or near THE AVENUE,W01001341,Caerphilly 020B,Investigation complete; no suspect identified
780027ff5682a64ae575cce2c82afe801abd5bcd4763575b979f8f061bd4bda3,2020-05,Gwent Police,Gwent Police,-3.257968,51.742523,On or near CHARLES STREET,W01001374,Caerphilly 001A,Investigation complete; no suspect identified
7ea5d4e6ea5bffd2466e2b6b6bf5426549e2a4480c01c471a809c9b3132b0298,2020-05,Gwent Police,Gwent Police,-3.057330,51.714243,On or near LLWYD COURT,W01001529,Torfaen 003B,Investigation complete; no suspect identified
ec4a2ef2f15f4c009913f9b2d5fb5edf99bc7203fc8f22745e248a1097f3ebf6,2020-05,Gwent Police,Gwent Police,-3.218086,51.588619,On or near HEOL GWAUN RHOS,W01001371,Caerphilly 022A,Investigation complete; no suspect identified
6c2b0e784976a549140951f9530785e58bd38c6bfcaf5c1446c57e6c7f390747,2020-05,Gwent Police,Gwent Police,-2.973699,51.588303,On or near ROSSLYN ROAD,W01001613,Newport 011C,Investigation complete; no suspect identified
1c8b5c5418ab084acbf40fefecb4d4aa16de2fb374af75b0ee2fd975d42b8af5,2020-05,Gwent Police,Gwent Police,-3.015164,51.567316,On or near MAESGLAS GROVE,W01001634,Newport 019B,Investigation complete; no suspect identified
14f11fc01d64f96a8be5ea0a9bab09b952ce9e0b61568e1d8b4bfc67b8e4d2f0,2020-05,Gwent Police,Gwent Police,-3.243366,51.590899,On or near HEOL FAWR,W01001400,Caerphilly 019F,Investigation complete; no suspect identified
65e957773fbbc290dc6fb5c17d03aa81897d1edfdd13db7b810601f07e1c5446,2020-05,Gwent Police,Gwent Police,-3.295818,51.738056,On or near HEOL IAGO,W01001361,Caerphilly 002B,Investigation complete; no suspect identified
1ac0ecbcad9b72577989756b19c2fa232de9cd447e43ea61fdb1e37eca073348,2020-05,Gwent Police,Gwent Police,-2.999017,51.590257,On or near MILL STREET,W01001603,Newport 012C,Investigation complete; no suspect identified
62e6055abc2679d041f331b8215e247d035608514a4411410a578eb4cd96737d,2020-05,Gwent Police,Gwent Police,-3.026147,51.582218,On or near CANBERRA CRESCENT,W01001604,Newport 012D,Investigation complete; no suspect identified
12c3f1a4ae1596b60422f221b74bc9e6fdbf757df84e35f6f9a1ddcafc5b2209,2020-05,Gwent Police,Gwent Police,-3.079970,51.600636,On or near TANYBRYN,W01001413,Caerphilly 017C,Investigation complete; no suspect identified
d3816bac317fc22bb1e8cb5f00fb111592d7d1494fae3d73e357f4eb1e75c899,2020-05,Gwent Police,Gwent Police,-3.219581,51.571672,On or near Pedestrian Subway,W01001424,Caerphilly 024C,Investigation complete; no suspect identified
ec5c913b09e8ff57a2fab2960f82f95a59a938536afd9f9b09b799bb6469e503,2020-05,Gwent Police,Gwent Police,-2.718697,51.809044,On or near BLESTIUM STREET,W01001553,Monmouthshire 004B,Investigation complete; no suspect identified
3b250b10fe557e777d0282cd53774ecedf709c9efe5749d622efdf44ab996491,2020-05,Gwent Police,Gwent Police,-3.008371,51.839456,On or near HILLGROVE AVENUE,W01001909,Monmouthshire 002F,Investigation complete; no suspect identified
