Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ce337774ce910bdaeb77d55c847eb09031e2a45bfc74abaa97e620bcbdd880f5,2020-06,Gwent Police,Gwent Police,-3.208404,51.697438,On or near Race Track,W01001325,Caerphilly 003A,Investigation complete; no suspect identified
dce21ec52d3ef13d480ad50b6c0484bec86683874255b4505d0d17f6a0c9a167,2020-06,Gwent Police,Gwent Police,-3.213547,51.588378,On or near CASTELL MORGRAIG,W01001371,Caerphilly 022A,Investigation complete; no suspect identified
7435b1848178f2ef675080fc7976ebba13641f36689f90f5e00eaffcb2fde09c,2020-06,Gwent Police,Gwent Police,-3.213547,51.588378,On or near CASTELL MORGRAIG,W01001371,Caerphilly 022A,Investigation complete; no suspect identified
d5abcd475e3db2a28eb79b0cdb77217d7b35d6ecaf5cacccf27121c658b3f1e3,2020-06,Gwent Police,Gwent Police,-3.276383,51.755056,On or near HAFOD-Y-MYNYDD,W01001376,Caerphilly 001C,Investigation complete; no suspect identified
abe709088757553a07548f924c2ed06927a0ba44506f0031d33e8eb366be941b,2020-06,Gwent Police,Gwent Police,-3.275842,51.645822,On or near HAWTHORNE ROAD,W01001377,Caerphilly 013A,Investigation complete; no suspect identified
8c20f3c4e06c41e968168ccbebd496799897b9f938ac1f68b07cb75bd6738b9f,2020-06,Gwent Police,Gwent Police,-2.975190,51.633635,On or near BADGERS MEADOW,W01001509,Torfaen 013D,Investigation complete; no suspect identified
5a4ae23a2088da6ebd3ffc91bf6e33569fd0848313ac41ae869a83b0cd2b144d,2020-06,Gwent Police,Gwent Police,-3.022725,51.697088,On or near Pedestrian Subway,W01001513,Torfaen 005D,Investigation complete; no suspect identified
860faf99af6c3bd68b7fc290de0778e7c9c415688206ad4f30daa7dd0752dae8,2020-06,Gwent Police,Gwent Police,-3.071237,51.731282,On or near COMMERCIAL CLOSE,W01001485,Torfaen 002D,Investigation complete; no suspect identified
6ccea495ecfe3613db6472c29ef70c90d483650756d1c6378f083978f3e3d86e,2020-06,Gwent Police,Gwent Police,-2.678051,51.639468,On or near A48,W01001586,Monmouthshire 007D,Investigation complete; no suspect identified
b96b062a7aec630070e6f8168c1ff8701a58be2eeed1b27c503191092bbb648b,2020-06,Gwent Police,Gwent Police,-2.674242,51.633070,On or near MARTEN ROAD,W01001559,Monmouthshire 008A,Investigation complete; no suspect identified
ce2a6f0a433e8df73e82c29da80ebff8de29da38a42a20743d546a5320b7ec99,2020-06,Gwent Police,Gwent Police,-3.041871,51.591979,On or near Parking Area,W01001673,Newport 009D,Investigation complete; no suspect identified
14b8e097230577bee7c7f2b33389fb4ee1fcb5a74b9b4ad2f345bc25a85a696c,2020-06,Gwent Police,Gwent Police,-3.150315,51.739310,On or near Sports/Recreation Area,W01001453,Blaenau Gwent 008D,Investigation complete; no suspect identified
19a727a6b75bd3ca648246ba8fb08aeaf46d24409ba4bb1e0fe62a302669ea74,2020-06,Gwent Police,Gwent Police,-3.068280,51.593450,On or near FUSCHIA WAY,W01001670,Newport 009B,Investigation complete; no suspect identified
08adc29b18572b8f8acccfea4390032ce746666df7ca15f354e37ce38746154e,2020-06,Gwent Police,Gwent Police,-3.027446,51.821713,On or near UNION ROAD EAST,W01001557,Monmouthshire 001C,Investigation complete; no suspect identified
6fce728659e5234b4a9b450399c72cb301098f615b5989ad76090a149e2d629a,2020-06,Gwent Police,Gwent Police,-3.014873,51.659815,On or near STATION ROAD,W01001495,Torfaen 008C,Investigation complete; no suspect identified
da09e03f1ddf82fb406d9cab0956430bf828bce0160fba3339838a2163738d4c,2020-06,Gwent Police,Gwent Police,-3.174959,51.730165,On or near A4046,W01001451,Blaenau Gwent 007B,Investigation complete; no suspect identified
eab15ed1acf1d17d933ba8f63a4b2ea6b20b671b22e70fad29cf97b70f5fd440,2020-06,Gwent Police,Gwent Police,-3.014422,51.576134,On or near ARNOLD CLOSE,W01001630,Newport 017B,Investigation complete; no suspect identified
48b97dca3e18ff604ba382ada56d96b3db8242694558147feffc5153a56a3ce0,2020-06,Gwent Police,Gwent Police,-3.023782,51.654837,On or near Supermarket,W01001506,Torfaen 010A,Investigation complete; no suspect identified
